player_name,League_name,sub_type,type,yellow_cards,red_cards,goals,assists
Javier Pastore,trophee-des-champions,domestic_super_cup,other,0,0,1,3
Adewale Oladoye,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,0,0,1,0
Konstantin Rausch,premier-liga,first_tier,domestic_league,9,0,1,8
Zoran Kvrzic,super-lig,first_tier,domestic_league,7,1,1,2
Sebastian Griesbeck,bundesliga,first_tier,domestic_league,10,0,1,1
Matheus Savio,liga-portugal-bwin,first_tier,domestic_league,0,0,1,0
Guido Marilungo,serie-a,first_tier,domestic_league,2,0,1,4
Nikolay Kalinskiy,russian-cup,domestic_cup,domestic_cup,0,0,1,3
Zvonimir Sarlija,super-lig,first_tier,domestic_league,3,0,1,1
Angelo Ogbonna,fa-cup,domestic_cup,domestic_cup,1,0,1,0
Sebastian Boenisch,bundesliga,first_tier,domestic_league,3,1,1,1
Adnan Januzaj,premier-league,first_tier,domestic_league,6,0,1,3
André Schürrle,premier-liga,first_tier,domestic_league,3,0,1,2
Nikolay Markov,russian-cup,domestic_cup,domestic_cup,1,0,1,1
Jack Hamilton,fa-cup,domestic_cup,domestic_cup,1,0,1,0
Jack Harrison,fa-cup,domestic_cup,domestic_cup,0,0,1,3
Leonardo Lelo,liga-portugal-bwin,first_tier,domestic_league,3,0,1,6
Iké Ugbo,europa-league,europa_league,international_cup,0,0,1,0
Miroslav Markovic,russian-cup,domestic_cup,domestic_cup,0,0,1,0
Hatem Ben Arfa,trophee-des-champions,domestic_super_cup,other,0,0,1,0
Ibrahima Konaté,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Ben Davies,fa-cup,domestic_cup,domestic_cup,2,0,1,0
Idrissa Gueye,fa-cup,domestic_cup,domestic_cup,1,0,1,0
Bastian Schweinsteiger,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Mateus Silva,liga-portugal-bwin,first_tier,domestic_league,14,0,1,1
Sebastian Vasiliadis,bundesliga,first_tier,domestic_league,13,0,1,1
Bernardo Silva,community-shield,domestic_super_cup,other,0,0,1,1
Bali Mumba,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Zoran Tosic,russian-super-cup,domestic_super_cup,other,1,0,1,0
Kostyantyn Yaroshenko,premier-liga,first_tier,domestic_league,2,0,1,4
Yacouba Sylla,ligue-1,first_tier,domestic_league,9,0,1,1
Tomas Hajek,toto-knvb-beker,domestic_cup,domestic_cup,1,0,1,0
Georgios Zisopoulos,europa-league,europa_league,international_cup,1,0,1,0
Isaac Success,fa-cup,domestic_cup,domestic_cup,1,0,1,0
Dominik Kohr,dfb-pokal,domestic_cup,domestic_cup,6,0,1,6
Ronaldo Mendes,super-lig,first_tier,domestic_league,0,0,1,0
Dominik Kaiser,dfb-pokal,domestic_cup,domestic_cup,1,0,1,0
Sebastian Langkamp,bundesliga,first_tier,domestic_league,29,0,1,2
Florian Wirtz,dfb-pokal,domestic_cup,domestic_cup,0,0,1,0
Sebastian Kerk,bundesliga,first_tier,domestic_league,1,0,1,1
Matheus Bueno,liga-portugal-bwin,first_tier,domestic_league,5,0,1,1
Dominick Drexler,dfb-pokal,domestic_cup,domestic_cup,1,0,1,0
Andy King,fa-cup,domestic_cup,domestic_cup,0,0,1,0
André Gomes,fa-cup,domestic_cup,domestic_cup,3,0,1,2
Haitam Aleesami,serie-a,first_tier,domestic_league,6,0,1,3
André Carrillo,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Özer Özdemir,super-lig,first_tier,domestic_league,2,1,1,1
Frederik Sörensen,dfb-pokal,domestic_cup,domestic_cup,1,0,1,0
Tobias Pachonik,toto-knvb-beker,domestic_cup,domestic_cup,0,0,1,0
Allan Saint-Maximin,fa-cup,domestic_cup,domestic_cup,0,0,1,2
Jake Gray,fa-cup,domestic_cup,domestic_cup,0,0,1,0
Grigoris Kastanos,serie-a,first_tier,domestic_league,5,1,1,3
George Edmundson,europa-league,europa_league,international_cup,0,0,1,1
Özgür Sert,super-lig,first_tier,domestic_league,0,0,1,1
Zé Luís,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,1,0,1,0
Aiden McGeady,premier-league,first_tier,domestic_league,1,0,1,3
Graziano Pellè,serie-a,first_tier,domestic_league,1,0,1,3
Zoran Tosic,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,1,0,1,3
Santiago García,bundesliga,first_tier,domestic_league,22,0,1,9
Jakub Moder,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Ainsley Maitland-Niles,premier-league,first_tier,domestic_league,12,0,1,4
William Saliba,ligue-1,first_tier,domestic_league,8,0,1,0
Santiago Ascacíbar,bundesliga,first_tier,domestic_league,31,1,1,3
Charlie Mulgrew,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,1,0,1,2
Liam Fontaine,scottish-premiership,first_tier,domestic_league,13,0,1,2
James Collins,fa-cup,domestic_cup,domestic_cup,0,0,1,1
Costinha,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,0,0,1,0
Alan Hutton,premier-league,first_tier,domestic_league,16,0,1,1
Raoul Petretta,super-lig,first_tier,domestic_league,4,0,1,0
Liam Grimshaw,scottish-premiership,first_tier,domestic_league,18,0,1,3
