player_name,country_of_citizenship_x,current_club_name,Total Assist,Total Red Card,Total Yellow Card,Total Goals
Khasan Mamtov,Russia,PFK Tambov (-2021),1,0,3,1
Khassa Camara,Mauritania,AO Xanthi,2,0,33,1
Khetag Khosonov,Russia,PFK Tambov (-2021),0,0,3,1
Kieran Dowell,England,Norwich City,1,0,1,1
Kieran Freeman,Scotland,Dundee United FC,2,0,4,1
Kieran Sadlier,Ireland,St. Mirren FC,1,0,0,1
Kike Salas,Spain,Sevilla FC,1,1,2,1
Kingsley Boateng,Italy,NAC Breda,1,0,2,1
Kirill Folmer,Russia,Akhmat Grozny,3,0,4,1
Kirill Kirilenko,Belarus,Olimpik Donetsk,0,0,0,1
Kirill Klimov,Russia,Rubin Kazan,2,0,4,1
Kirill Volchkov,Russia,Kuban Krasnodar (-2018),0,0,1,1
Kivanc Karakas,Turkey,Eskisehirspor,1,1,16,1
Ko Itakura,Japan,Borussia MÃ¶nchengladbach,1,0,7,1
Koba Koindredi,Neukaledonien,Valencia CF,1,0,2,1
Koki Anzai,Japan,Portimonense SC,2,0,4,1
Kolo TourÃ©,Cote d'Ivoire,Celtic FC,0,0,4,1
Konstantin Savichev,Russia,Anzhi Makhachkala ( -2022),2,0,7,1
Konstantin Shiltsov,Russia,FC Pari Nizhniy Novgorod,1,0,0,1
Konstantinos Katsouranis,Greece,Atromitos Athens,2,0,3,1
Konstantinos Markopoulos,Greece,Panthrakikos Komotini,0,0,0,1
Konstantinos Pagalos,Greece,AO Platanias,0,0,3,1
Konstantinos Pappas,Greece,APO Levadiakos,1,0,2,1
Konstantinos Provydakis,Greece,PAS Lamia 1964,1,0,5,1
Kostyantyn Yaroshenko,Ukraine,Karpaty Lviv (-2021),4,0,3,1
Kosuke Kinoshita,Japan,Sint-Truidense VV,0,0,0,1
Kouadio-Yves Dabila,Cote d'Ivoire,RFC Seraing,0,1,8,1
Kristian Arnstad,Norway,RSC Anderlecht,2,1,8,1
Kristian Opseth,Norway,Erzurumspor FK,2,0,3,1
Kristijan Miljevic-Sachpekidis,Serbia,Veria NPS,0,0,2,1
Kristjan Asllani,Albania,Inter Milan,2,0,4,1
Kristoffer Askildsen,Norway,US Lecce,0,0,13,1
Kristopher Vida,Hungary,De Graafschap Doetinchem,1,0,4,1
Krystian Nowak,Poland,Panionios Athens,0,0,4,1
Kuni,Japan,Casa Pia AC,2,0,5,1
Kyle McClean,Northern Ireland,St. Johnstone FC,0,0,1,1
Kyriakos Mazoulouxis,Greece,PAS Lamia 1964,0,0,3,1
Kyriakos Savvidis,Greece,Aris Thessaloniki,4,0,13,1
Kyrylo Melichenko,Ukraine,FK Mariupol,0,0,5,1
LÃ¡szlÃ³ Kleinheisler,Hungary,Panathinaikos Athens,1,0,0,1
LÃ©o,Brazil,Metalurg Zaporizhya (-2016),0,0,0,1
LÃ©o Bolgado,Brazil,Casa Pia AC,0,0,3,1
LÃ©o PÃ©trot,France,FC Lorient,0,0,0,1
Ladislas Douniama,Congo,EA Guingamp,0,0,0,1
LalaÃ¯na Nomenjanahary,Madagascar,RC Lens,3,0,3,1
Lamine Fomba,France,NÃ®mes Olympique,1,0,14,1
Lamine Gassama,Senegal,GÃ¶ztepe,7,2,33,1
Lamine Ghezali,France,AS Saint-Ã‰tienne,0,0,1,1
Larry Azouni,Tunisia,CD Nacional,5,1,26,1
Lars Jacobsen,Denmark,EA Guingamp,4,0,6,1
Lassana Diarra,France,Paris Saint-Germain,2,0,12,1
Lasse Berg Johnsen,Norway,Randers FC,2,0,6,1
Lasse Sobiech,Germany,1.FC KÃ¶ln,0,0,3,1
Leandro,Brazil,PFK Stal Kamyanske (-2018),0,0,1,1
Leandro Greco,Italy,Hellas Verona,2,0,15,1
Leandro Souza,Brazil,Moreirense FC,1,0,1,1
Ledian Memushaj,Albania,Benevento Calcio,3,0,6,1
Lee Buchanan,England,SV Werder Bremen,0,0,2,1
Lee Cattermole,England,VVV-Venlo,0,0,30,1
Lee Tomlin,England,Cardiff City,0,0,1,1
Leo Ã–stigard,Norway,SSC Napoli,0,1,5,1
Leo Goglichidze,Russia,Ural Yekaterinburg,2,1,1,1
Leo SuÃ¡rez,Argentina,Villarreal CF,1,0,0,1
Leon Clarke,England,Sheffield United,0,0,0,1
Leon Guwara,The Gambia,VVV-Venlo,3,2,4,1
Leonardo Bertone,Switzerland,SK Beveren,2,0,5,1
Leonardo Lelo,Portugal,Casa Pia AC,6,0,3,1
Lesley Ugochukwu,France,Stade Rennais FC,0,0,3,1
Levent Aycicek,Germany,SV Werder Bremen,0,0,1,1
Lewis Enoh,Cameroon,KSC Lokeren (- 2020),0,0,4,1
Lewis Grabban,Jamaica,AFC Bournemouth,1,0,2,1
Lewis Horner,England,Inverness Caledonian Thistle FC,1,1,2,1
Lewis Moore,Scotland,Heart of Midlothian FC,3,0,0,1
Lewis O'Brien,England,Nottingham Forest,0,0,2,1
Liam Fontaine,England,Dundee FC,2,0,13,1
Liam Grimshaw,England,Motherwell FC,3,0,19,1
Liam Kelly,Ireland,Feyenoord Rotterdam,0,0,0,1
Liam Kelly,Scotland,Motherwell FC,0,0,0,1
Liam van Gelderen,Netherlands,FC Groningen,0,0,4,1
Linus Gechter,Germany,Hertha BSC,0,0,0,1
Livio Milts,Belgium,Roda JC Kerkrade,0,0,0,1
Livio Nabab,Guadeloupe,SK Beveren,2,0,2,1
Liviu Antal,Romania,Genclerbirligi Ankara,0,0,0,1
Lloyd Palun,Gabon,Cercle Brugge,1,0,16,1
LluÃ­s LÃ³pez,Spain,RCD Espanyol Barcelona,1,0,3,1
Lomana LuaLua,DR Congo,Akhisarspor,4,0,1,1
Lorenco Simic,Croatia,UC Sampdoria,0,0,2,1
Lorenz Assignon,France,Stade Rennais FC,3,0,3,1
Loris Benito,Switzerland,FC Girondins Bordeaux,0,1,12,1
LossÃ©my KarabouÃ©,Cote d'Ivoire,APO Levadiakos,3,1,7,1
Louis AppÃ©rÃ©,Scotland,Dundee United FC,1,0,2,1
LuÃ­s Martins,Portugal,GD Chaves,0,0,6,1
Luca Antei,Italy,Benevento Calcio,1,1,12,1
Luca Antonini,Italy,Genoa CFC,0,0,1,1
Luca Crecco,Italy,SS Lazio,0,0,0,1
Luca Gagliano,Italy,Cagliari Calcio,1,0,0,1
Luca Koleosho,Italy,RCD Espanyol Barcelona,0,0,0,1
Luca Mazzitelli,Italy,US Sassuolo,3,0,19,1
Luca Ranieri,Italy,ACF Fiorentina,0,0,13,1
Luca Vido,Italy,Atalanta BC,0,0,0,1
Lucas Bernadou,France,FC Emmen,0,1,2,1
Lucas Favalli,Argentina,APO Levadiakos,3,0,5,1
Lucas From,Denmark,Vejle Boldklub,0,0,0,1
Lucas Gourna-Douath,France,AS Saint-Ã‰tienne,0,0,15,1
Lucas Haren,Denmark,Randers FC,1,0,0,1
Lucas Jensen,Denmark,Vejle Boldklub,5,0,6,1
Lucas OrbÃ¡n,Argentina,Genoa CFC,1,2,15,1
Lucas Ribeiro,Brazil,TSG 1899 Hoffenheim,0,0,1,1
Lucas Rougeaux,France,KV Kortrijk,3,0,20,1
Lucas Soares,Brazil,Casa Pia AC,2,0,7,1
Luccas Claro,Brazil,Genclerbirligi Ankara,0,0,7,1
Lucian Burdujan,Romania,Goverla Uzhgorod (- 2016),0,0,1,1
Luis AdvÃ­ncula,Peru,Rayo Vallecano,11,2,13,1
Luis Henrique,Brazil,Vejle Boldklub,0,0,0,1
Luis HernÃ¡ndez,Spain,CÃ¡diz CF,2,0,26,1
Luis IbÃ¡Ã±ez,Argentina,Trabzonspor,2,1,13,1
Luka Lochoshvili,Georgia,US Cremonese,2,0,4,1
Luka Romero,Argentina,SS Lazio,0,0,2,1
Luka Stankovski,North Macedonia,Gaziantep FK,0,0,0,1
Lukas Haraslin,Slovakia,US Sassuolo,1,1,2,1
Lukas Jutkiewicz,England,Burnley FC,3,0,1,1
Lukas Willen,Belgium,SV Zulte Waregem,1,0,3,1
Lukasz Sekulski,Poland,SKA Khabarovsk,0,0,0,1
Luke Garbutt,England,Everton FC,1,0,1,1
Lukman Haruna,Nigeria,Anzhi Makhachkala ( -2022),3,0,5,1
Lumor,Ghana,Aris Thessaloniki,4,0,7,1
Luso,Spain,CÃ³rdoba CF,1,0,5,1
Luuk Koopmans,Netherlands,ADO Den Haag,0,0,0,1
Lyall Cameron,Scotland,Dundee FC,0,0,0,1
MÃ¡rton Eppel,Hungary,Cercle Brugge,3,0,1,1
MÃ©mÃ© TchitÃ©,Burundi,Sint-Truidense VV,1,0,1,1
Maciej Wilusz,Poland,Ural Yekaterinburg,0,0,4,1
Mads Fenger,Denmark,Randers FC,4,1,14,1
Mads Justesen,Denmark,Hobro IK,5,0,11,1
Mads Larsen,Denmark,Esbjerg fB,0,0,0,1
Mads Mikkelsen,Faroe Islands,Vendsyssel FF,0,0,0,1
Maga,Portugal,VitÃ³ria GuimarÃ£es SC,4,0,7,1
Magique,Cote d'Ivoire,AcadÃ©mica Coimbra,0,0,1,1
Magomed Musalov,Russia,Akhmat Grozny,2,0,9,1
Mahamadou Ba,Mali,Istanbulspor,0,0,4,1
Mahir Saglik,Turkey,SC Paderborn 07,1,0,2,1
Maksim Eleev,Russia,CSKA Moscow,0,0,0,1
Maksim Karpov,Russia,Krylya Sovetov Samara,1,1,4,1
Maksim Kaynov,Russia,Arsenal Tula,0,0,2,1
Maksim Kazankov,Russia,SKA Khabarovsk,2,0,6,1
Maksim Mayrovich,Russia,Kuban Krasnodar (-2018),1,0,1,1
Maksim Mukhin,Russia,CSKA Moscow,3,0,20,1
Maksim Rudnev,Russia,Enisey Krasnoyarsk,0,0,0,1
Maksym Voytikhovskyi,Ukraine,Chornomorets Odessa,0,0,1,1
Malik Sellouki,France,OGC Nice,0,0,1,1
Mamadou Danfa,Senegal,Kolos Kovalivka,0,0,2,1
Mamadou SangarÃ©,Mali,SV Zulte Waregem,0,0,2,1
Mamadou WaguÃ©,France,Chornomorets Odessa,0,0,6,1
Mamoutou N'Diaye,Mali,KVC Westerlo,1,1,8,1
ManÃ©,Spain,UD AlmerÃ­a,0,0,0,1
Manjrekar James,Canada,Chornomorets Odessa,0,0,10,1
Manolis Moniakis,Greece,AE Larisa,0,0,6,1
Manolis Patralis,Greece,Apollon Smyrnis,0,0,4,1
Manolis Siopis,Greece,Trabzonspor,6,0,49,1
Manolo Portanova,Italy,Genoa CFC,1,0,6,1
Manssour Fofana,Cote d'Ivoire,PAS Giannina,0,0,0,1
Mansur,Brazil,CD Santa Clara,1,0,16,1
Manu Lanzarote,Spain,Asteras Tripolis,1,0,5,1
Manu SÃ¡nchez,Spain,CA Osasuna,12,0,13,1
Manuel Prietl,Austria,Arminia Bielefeld,2,0,7,1
Manuel Schmiedebach,Germany,1.FC Union Berlin,2,0,11,1
Marc Kibong Mbamba,Cameroon,Denizlispor,3,0,4,1
Marc McAusland,Scotland,St. Mirren FC,0,0,9,1
Marc Muniesa,Spain,Girona FC,1,0,14,1
Marc Planus,France,FC Girondins Bordeaux,0,0,1,1
Marc Valiente,Spain,KAS Eupen,0,0,6,1
Marcel Ndjeng,Cameroon,Hertha BSC,2,0,2,1
Marcel SchÃ¤fer,Germany,VfL Wolfsburg,6,0,2,1
Marcello Gazzola,Italy,Parma Calcio 1913,2,0,13,1
Marcelo Estigarribia,Paraguay,Atalanta BC,0,0,2,1
Marcelo Hermes,Brazil,CS MarÃ­timo,1,0,5,1
Marcelo Oliveira,Brazil,Moreirense FC,0,0,27,1
Marco Andreolli,Italy,Chievo Verona,0,0,11,1
Marco Capuano,Italy,Frosinone Calcio,0,0,18,1
Marco HÃ¶ger,Germany,1.FC KÃ¶ln,4,0,28,1
Marco Kana,Belgium,RSC Anderlecht,1,0,4,1
Marco MeyerhÃ¶fer,Germany,SpVgg Greuther FÃ¼rth,1,0,0,1
Marco Rente,Germany,Heracles Almelo,2,0,8,1
Marco Stiepermann,Germany,Norwich City,1,0,7,1
Marcos GullÃ³n,Spain,Roda JC Kerkrade,1,0,9,1
Marcus Forss,Finland,Brentford FC,1,0,0,1
Marcus Godinho,Canada,Heart of Midlothian FC,2,0,3,1
Marek Cech,Slovakia,Boavista FC,1,0,1,1
Mariano BÃ­ttolo,Argentina,Atromitos Athens,2,0,9,1
Marin Anicic,Bosnia-Herzegovina,Konyaspor,0,0,8,1
Mario HernÃ¡ndez,Spain,Rayo Vallecano,0,0,4,1
Mario MartÃ­nez,Spain,Boavista FC,0,0,1,1
Mario Sampirisi,Italy,FC Crotone,1,0,3,1
Marios Tsaousis,Greece,PAOK Thessaloniki,0,0,3,1
Marius Alexe,Romania,Kardemir KarabÃ¼kspor,0,0,1,1
Marko DmitroviÄ‡,Serbia,Sevilla FC,0,0,6,1
Marko Jankovic,Montenegro,SPAL,4,0,4,1
Marko Milinkovic,Serbia,Genclerbirligi Ankara,6,0,5,1
Marko Sapuga,Ukraine,Rukh Lviv,2,0,9,1
Marko Simic,Montenegro,FK Rostov,0,0,9,1
Markus Berger,Austria,CD Tondela,0,0,9,1
Markus Halsti,Finland,Esbjerg fB,1,0,13,1
Marley Redfern,Scotland,Hamilton Academical FC,0,0,0,1
Marlon,Brazil,MKE AnkaragÃ¼cÃ¼,4,1,11,1
Marlon de JesÃºs,Ecuador,FC Arouca,2,0,2,1
Marnon Busch,Germany,SV Werder Bremen,0,0,0,1
Maroine Mihoubi,Tunisia,PFK Lviv,0,0,10,1
Marquinhos Pedroso,Brazil,Gaziantepspor (- 2020),0,0,3,1
Marsoni Sambu,Belgium,RFC Seraing,2,0,8,1
MartÃ­n Aguirregabiria,Spain,FC FamalicÃ£o,10,1,16,1
Martin Angha,Switzerland,Fortuna Sittard,3,0,13,1
Martin Chrien,Slovakia,CD Santa Clara,1,0,0,1
Martin Hansen,Denmark,Odense Boldklub,1,0,5,1
Martin Kelly,England,Crystal Palace,4,0,13,1
Martin Milec,Slovenia,Roda JC Kerkrade,2,0,15,1
Martin Smith,England,Kilmarnock FC,0,0,0,1
Martin Wasinski,Belgium,RSC Charleroi,1,0,4,1
Marvin Martins,Luxembourg,Karpaty Lviv (-2021),2,0,6,1
Marwin Hitz,Switzerland,Borussia Dortmund,0,0,14,1
Mason Bloomfield,England,Norwich City,0,0,0,1
Massimo Gobbi,Italy,Parma Calcio 1913,9,0,30,1
MatÃ­as Cabrera,Uruguay,Cagliari Calcio,3,0,5,1
MatÃ­as SÃ¡nchez,Argentina,APO Levadiakos,0,0,7,1
Matej Mitrovic,Croatia,Club Brugge KV,1,0,6,1
Mateo Barac,Croatia,KV Oostende,0,0,6,1
Matheus Bueno,Brazil,Gil Vicente FC,2,0,5,1
Matheus Carvalho,Brazil,AS Monaco,1,0,0,1
Matheus Savio,Brazil,GD Estoril Praia,0,0,0,1
Matheus Vargas,Brazil,AOK Kerkyra,0,0,0,1
Mathias Bersang SÃ¶rensen,Denmark,Hobro IK,1,0,3,1
Mathias Bossaerts,Belgium,KV Oostende,0,0,3,1
Mathias Haarup,Denmark,Hobro IK,5,0,9,1
Mathieu Flamini,France,Getafe CF,3,0,17,1
Mathiola,Brazil,VitÃ³ria SetÃºbal FC,0,0,2,1
Matteo Brighi,Italy,FC Empoli,0,0,8,1
Matteo Gabbia,Italy,AC Milan,0,0,9,1
Matteo Ricci,Italy,Fatih KaragÃ¼mrÃ¼k,7,0,9,1
Mattheos Maroukakis,Greece,AE Larisa,1,0,1,1
Matthew Pennington,England,Everton FC,0,0,1,1
Matthew Sorinola,England,Royale Union Saint Gilloise,0,0,3,1
Matthias Ostrzolek,Germany,Hannover 96,7,0,23,1
Matthias Praest,Denmark,AC Horsens,0,0,1,1
Matthias Verreth,Belgium,SK Beveren,0,0,2,1
Matthieu Udol,France,FC Metz,4,1,4,1
Mattia Finotto,Italy,SPAL,1,0,0,1
Mattia Viti,Italy,OGC Nice,0,0,3,1
MaurÃ­cio Ramos,Brazil,Adanaspor,0,0,9,1
Mauro dos Santos,Argentina,CD LeganÃ©s,1,1,22,1
Mawouna Amevor,Togo,Go Ahead Eagles,0,0,2,1
Max Anderson,Scotland,Dundee FC,0,1,6,1
Max Kilman,England,Wolverhampton Wanderers,2,0,14,1
Max Svensson,Sweden,Willem II Tilburg,4,0,1,1
Maxim Leitsch,Germany,1.FSV Mainz 05,0,0,3,1
Maxime Busi,Belgium,Stade Reims,3,0,12,1
Maxime Colin,France,RSC Anderlecht,0,0,1,1
Maxime Soulas,France,SÃ¶nderjyskE,1,0,2,1
Maximilian WÃ¶ber,Austria,Leeds United,3,1,9,1
Maximiliano Romero,Argentina,PSV Eindhoven,2,0,0,1
Maxwell Acosty,Ghana,FC Crotone,2,0,3,1
Maxwell Woledzi,Ghana,FC Nordsjaelland,1,0,3,1
Mehdi Mostefa,Algeria,SC Bastia,3,0,25,1
Mehdi Zerkane,Algeria,FC Girondins Bordeaux,1,1,3,1
Mehmet Topuz,Turkey,Fenerbahce,0,1,1,1
Mehmet Yesil,Turkey,Istanbulspor,0,0,5,1
Melih Ibrahimoglu,Turkey,Heracles Almelo,0,0,0,1
Melih Kabasakal,Turkey,Istanbulspor,0,0,2,1
Melih Okutan,Turkey,Kayserispor,0,0,1,1
Melli,Spain,GS Ergotelis,0,0,3,1
Meritan Shabani,Germany,VVV-Venlo,0,0,0,1
Merlin Tandjigora,Gabon,B SAD,0,0,3,1
Mert Cetin,Turkey,US Lecce,0,0,9,1
Metehan GÃ¼Ã§lÃ¼,Turkey,FC Emmen,0,0,0,1
MichaÃ«l Barreto,France,AC Ajaccio,1,0,1,1
MichaÃ«l Maria,Curacao,Twente Enschede FC,0,0,1,1
Michael Carrick,England,Manchester United,4,0,10,1
Michael Christensen,Denmark,Hobro IK,0,0,3,1
Michael Eneramo,Nigeria,Sivasspor,2,0,3,1
Michael Essien,Ghana,Panathinaikos Athens,0,0,6,1
Michael Harriman,Ireland,Queens Park Rangers,0,0,1,1
Michael Heinloth,Germany,NEC Nijmegen,2,0,6,1
Michael Kightly,England,Burnley FC,3,0,3,1
Michael Lang,Switzerland,Borussia MÃ¶nchengladbach,0,0,1,1
Michael Liendl,Austria,Twente Enschede FC,4,0,0,1
Michael Olaitan,Nigeria,Panionios Athens,2,0,4,1
Michael Parensen,Germany,1.FC Union Berlin,0,0,5,1
Michaell Chirinos,Honduras,Volos NPS,2,0,1,1
Michal Kadlec,Czech Republic,Fenerbahce,0,0,6,1
Michal Kucharczyk,Poland,Ural Yekaterinburg,3,1,0,1
Michalis Bakakis,Greece,Panetolikos GFS,10,0,18,1
Michalis Kosidis,Greece,AEK Athens,1,0,0,1
Michel Adopo,France,Torino FC,0,0,1,1
Michel Breuer,Netherlands,Sparta Rotterdam,1,0,3,1
Michel Morganella,Switzerland,Palermo FC,2,1,15,1
MickaÃ«l Alphonse,Guadeloupe,AC Ajaccio,1,1,4,1
MickaÃ«l Nade,France,AS Saint-Ã‰tienne,0,0,4,1
Micky van de Ven,Netherlands,VfL Wolfsburg,3,0,7,1
Migjen Basha,Albania,Aris Thessaloniki,0,2,8,1
Miguel Baeza,Spain,Celta de Vigo,1,0,0,1
Miguel de la Fuente,Spain,Deportivo AlavÃ©s,4,0,4,1
Miguel FlaÃ±o,Spain,CA Osasuna,0,0,3,1
Miguel Olavide,Spain,CA Osasuna,0,0,3,1
Miguel Oliveira,Portugal,FC Arouca,0,1,8,1
Miguel RodrÃ­guez,Spain,Celta de Vigo,0,0,2,1
Miguel Rodrigues,Portugal,Rio Ave FC,1,0,18,1
Miha Goropevsek,Slovenia,Volyn Lutsk,0,1,13,1
MihÃ¡ly Korhut,Hungary,Aris Thessaloniki,2,0,8,1
Mihai Roman II,Romania,NEC Nijmegen,0,0,0,1
Mihail Aleksandrov,Bulgaria,Arsenal Tula,3,0,5,1
Mihail Caimacov,Moldova,Torpedo Moscow,0,0,3,1
Mihail Ghecev,Moldova,NK Veres Rivne,1,0,2,1
Mijusko Bojovic,Montenegro,SK Beveren,1,0,3,1
Mikael Soisalo,Finland,SV Zulte Waregem,1,0,1,1
Mike Williamson,England,Newcastle United,1,0,9,1
Mikel Arteta,Spain,Arsenal FC,1,0,3,1
Mikel Balenziaga,Spain,Athletic Bilbao,11,1,30,1
Mike-Steven BÃ¤hre,Germany,Hannover 96,1,0,0,1
Mikhail Komkov,Russia,Enisey Krasnoyarsk,2,0,4,1
Mikhail Merkulov,Russia,Rubin Kazan,4,1,13,1
Mikkel Beckmann,Denmark,Hobro IK,0,0,4,1
Mikkel Desler,Denmark,FC Toulouse,12,0,15,1
Mikkel Lassen,Denmark,AC Horsens,1,0,3,1
Mikkel Pedersen,Denmark,Randers FC,3,0,6,1
Milan Bisevac,Serbia,FC Metz,1,1,10,1
Milan Jevtovic,Serbia,Aarhus GF,5,0,3,1
Milos Stamenkovic,Serbia,Rukh Lviv,0,0,12,1
Milos Vulic,Serbia,FC Crotone,0,0,2,1
Mimito Biai,Guinea-Bissau,Panetolikos GFS,0,1,1,1
Miquel Nelom,Suriname,Willem II Tilburg,8,0,21,1
Mirkan Aydin,Turkey,Hatayspor,0,0,1,1
Mirko Antonucci,Italy,AS Roma,2,0,2,1
Mitch Pinnock,England,Kilmarnock FC,4,0,0,1
Mladen Kascelan,Montenegro,FC Tosno (-2018),0,0,15,1
Modibo DiakitÃ©,France,Frosinone Calcio,1,1,10,1
Mohamed Ali Yaakoubi,Tunisia,Caykur Rizespor,0,0,4,1
Mohamed Badamosi,The Gambia,KV Kortrijk,1,0,4,1
Mohamed Buya Turay,Sierra Leone,Sint-Truidense VV,1,0,1,1
Mohamed DrÃ¤ger,Tunisia,Olympiacos Piraeus,4,0,2,1
Mohamed Mallahi,Netherlands,FC Utrecht,0,0,1,1
Mohammad Naderi,Iran,Altay SK,1,0,5,1
Mohammed Kamara,Liberia,Hatayspor,3,0,5,1
Mohammed Salisu,Ghana,Southampton FC,1,0,15,1
Mohcine Hassan,Morocco,VitÃ³ria SetÃºbal FC,1,0,1,1
Moise Adilehou,Benin,APO Levadiakos,0,0,10,1
Moreno,Portugal,VitÃ³ria GuimarÃ£es SC,0,1,7,1
Morgan Boyes,Wales,Livingston FC,1,1,3,1
Moritz Leitner,Germany,Norwich City,4,0,6,1
Mouhamadou Drammeh,France,Vejle Boldklub,1,0,3,1
Moussa WaguÃ©,Senegal,PAOK Thessaloniki,4,0,5,1
Moustapha Mbow,Senegal,RFC Seraing,0,1,6,1
Muamer Brajanac,Denmark,AC Horsens,1,0,3,1
Muammer Sarikaya,Turkey,Istanbulspor,4,0,7,1
Muhamed Besic,Bosnia-Herzegovina,Everton FC,0,0,16,1
Muhammad CandÃ©,Guinea-Bissau,CD Santa Clara,0,1,10,1
Muhammed Ildiz,Austria,Gaziantepspor (- 2020),3,0,13,1
Muhammet Besir,Turkey,Trabzonspor,0,0,2,1
Mukhtar Ali,Saudi Arabia,Vitesse Arnhem,0,0,0,1
Murat Akca,Turkey,Altay SK,1,0,15,1
Murat Akin,Turkey,Kardemir KarabÃ¼kspor,0,0,0,1
Murat Cem Akpinar,Turkey,Giresunspor,1,0,4,1
Murtaz Daushvili,Georgia,Karpaty Lviv (-2021),1,1,12,1
Musa Juwara,The Gambia,Odense Boldklub,0,0,3,1
Musa Yilmazer,Turkey,Sivasspor,1,0,1,1
Mustafa Akbas,Turkey,Genclerbirligi Ankara,1,3,35,1
Mustapha Dumbuya,Sierra Leone,Partick Thistle FC,3,0,4,1
Mustapha Oussalah,Morocco,Royal Excel Mouscron (-2022),2,0,3,1
Myenty Abena,Suriname,De Graafschap Doetinchem,0,0,3,1
Mykhaylo Meskhi,Ukraine,FK Minaj,1,0,10,1
Mykhaylo Plokhotnyuk,Ukraine,Ingulets Petrove,1,0,2,1
Mykola Musolitin,Ukraine,Chornomorets Odessa,0,0,10,1
NÃ¤is Djouahra,France,Real Sociedad,1,0,0,1
NÃ©lson Pedroso,Portugal,FC PaÃ§os de Ferreira,4,0,3,1
Naby Sarr,Senegal,Sporting CP,0,0,2,1
Najeeb Yakubu,Niger,Vorskla Poltava,2,0,13,1
Nampalys Mendy,Senegal,Leicester City,4,1,26,1
Nassim Boujellab,Morocco,FC Schalke 04,1,0,4,1
Nathan Holland,England,West Ham United,0,0,0,1
Nathan Rutjes,Netherlands,Roda JC Kerkrade,1,0,6,1
Nathan Tjoe-A-On,Netherlands,Excelsior Rotterdam,1,0,0,1
Nathaniel Will,Netherlands,De Graafschap Doetinchem,2,0,6,1
N'Dri Koffi,Cote d'Ivoire,FC PaÃ§os de Ferreira,0,0,1,1
Neco Williams,Wales,Nottingham Forest,3,0,10,1
NehuÃ©n PÃ©rez,Argentina,Udinese Calcio,1,1,21,1
Nelsinho,Brazil,FC Arouca,3,0,11,1
Nelson Bonilla,El Salvador,CD Nacional,2,0,4,1
Nelson Valdez,Paraguay,Eintracht Frankfurt,0,0,2,1
Nemanja Calasan,Serbia,GD Chaves,1,0,0,1
Nemanja Glavcic,Serbia,FK Khimki,1,0,4,1
Nemanja Miletic,Serbia,FK Ufa,0,0,3,1
Nemanja Milojevic,Greece,Panionios Athens,2,0,3,1
Nemanja Milunovic,Serbia,Alanyaspor,1,0,6,1
Nemanja Vidicâ€Ž,Serbia,Inter Milan,0,1,8,1
NenÃ©,Portugal,CD Santa Clara,0,1,23,1
NenÃª Bonilha,Brazil,VitÃ³ria SetÃºbal FC,1,0,10,1
Nestoras Mytidis,Cyprus,AOK Kerkyra,0,0,1,1
Ngissah Bismark,Ghana,Chievo Verona,1,0,1,1
NiccolÃ² Zanellato,Italy,FC Crotone,1,0,3,1
Nicholas Pierini,Italy,US Sassuolo,0,0,0,1
Nick Doodeman,Netherlands,SC Cambuur Leeuwarden,3,0,0,1
Nick Kuipers,Netherlands,ADO Den Haag,0,0,5,1
Nico Pulzetti,Italy,Cesena FC,0,0,1,1
Nico Serrano,Spain,Athletic Bilbao,0,0,0,1
Nico Varela,Uruguay,AE Larisa,1,0,4,1
Nicola Murru,Italy,UC Sampdoria,11,1,36,1
NicolÃ¡s Blandi,Argentina,Thonon Ã‰vian Grand GenÃ¨ve FC,0,0,1,1
NicolÃ¡s Freire,Argentina,PEC Zwolle,2,0,2,1
NicolÃ¡s Gorosito,Argentina,Getafe CF,0,1,1,1
NicolÃ² Cherubin,Italy,Hellas Verona,0,1,1,1
Nicolaj Ritter,Denmark,SÃ¶nderjyskE,1,0,9,1
Nicolas BÃ¼rgy,Switzerland,Viborg FF,0,0,0,1
Nicolas Basin,France,FC Metz,0,0,1,1
Nicolas La Vigna,Italy,Atalanta BC,0,0,0,1
Nicolas Lombaerts,Belgium,KV Oostende,3,1,19,1
Nicolas Perez,France,Royal Excel Mouscron (-2022),0,0,0,1
Nicolas Seube,France,SM Caen,3,0,13,1
Niels Lodberg,Denmark,AC Horsens,0,0,10,1
Nigel Lonwijk,Netherlands,Fortuna Sittard,0,0,1,1
Nihad Mujakic,Bosnia-Herzegovina,MKE AnkaragÃ¼cÃ¼,0,0,7,1
Nika Kacharava,Georgia,FK Rostov,0,0,2,1
Nikita Chicherin,Russia,PFK Tambov (-2021),1,0,6,1
Nikita Gvineyskiy,Russia,Tom Tomsk,0,0,3,1
Nikita Malyarov,Russia,FK Orenburg,1,0,3,1
Nikita Salamatov,Russia,PFK Tambov (-2021),0,0,1,1
Nikola Aksentijevic,Serbia,Royal Excel Mouscron (-2022),1,0,1,1
Nikola Ignjatijevic,Serbia,Zorya Lugansk,0,0,6,1
Nikola Jakimovski,North Macedonia,Apollon Smyrnis,4,1,10,1
Nikola Jambor,Croatia,Moreirense FC,3,0,6,1
Nikola Mileusnic,Australia,Randers FC,1,0,1,1
Nikolaos Marinakis,Greece,OFI Crete FC,8,0,39,1
Nikolaos Tsoumanis,Greece,Veria NPS,2,0,4,1
