player_name,country_of_citizenship_x,current_club_name,Total Assist,Total Red Card,Total Yellow Card,Total Goals
Ãngel Di MarÃ­a,Argentina,Juventus FC,117,3,19,86
Karl Toko Ekambi,Cameroon,Stade Rennais FC,38,0,19,86
Teemu Pukki,Finland,Norwich City,26,0,19,86
Victor Osimhen,Nigeria,SSC Napoli,22,1,23,86
IÃ±aki Williams,Ghana,Athletic Bilbao,46,0,32,85
Marcus Rashford,England,Manchester United,51,1,27,85
Pablo Sarabia,Spain,Wolverhampton Wanderers,69,0,64,85
Andy Delort,Algeria,FC Nantes,30,0,26,84
Henrikh Mkhitaryan,Armenia,Inter Milan,87,0,42,84
Tiquinho Soares,Brazil,Olympiacos Piraeus,13,1,31,84
Anthony Modeste,France,1.FC KÃ¶ln,12,0,19,82
BafÃ©timbi Gomis,France,Galatasaray,11,1,11,82
Eden Hazard,Belgium,Real Madrid,64,0,15,82
Philippe Coutinho,Brazil,Aston Villa,53,0,19,82
Pizzi,Portugal,SC Braga,81,0,35,82
Nils Petersen,Germany,SC Freiburg,16,0,9,81
Ahmed Hassan,Egypt,Alanyaspor,19,0,27,80
Alexander SÃ¸rloth,Norway,RB Leipzig,32,1,24,80
Callum Wilson,England,Newcastle United,25,0,23,80
Diogo Jota,Portugal,Liverpool FC,39,1,37,80
Christopher Nkunku,France,RB Leipzig,58,0,19,79
JoÃ£o Pedro,Brazil,Watford FC,21,2,43,79
JoÃ£o Pedro,Italy,Fenerbahce,21,2,43,79
JoÃ£o Pedro,Portugal,Panetolikos GFS,21,2,43,79
Konstantinos Mitroglou,Greece,Aris Thessaloniki,10,0,17,79
Michy Batshuayi,Belgium,Fenerbahce,22,0,21,79
Andriy Yarmolenko,Ukraine,West Ham United,56,1,26,78
Konstantinos Fortounis,Greece,Olympiacos Piraeus,79,0,27,78
Mario Balotelli,Italy,Adana Demirspor,8,6,64,78
Mikel Oyarzabal,Spain,Real Sociedad,45,1,15,78
Anastasios Bakasetas,Greece,Trabzonspor,50,2,61,77
CÃ©dric Bakambu,DR Congo,Olympiacos Piraeus,13,0,26,77
Enes Ãœnal,Turkey,Getafe CF,20,0,34,77
Islam Slimani,Algeria,Stade Brestois 29,28,1,36,77
Manolo Gabbiadini,Italy,UC Sampdoria,19,1,28,77
Santi Mina,Spain,Celta de Vigo,33,0,39,77
Dimitri Payet,France,Olympique Marseille,101,3,41,76
Ally Samatta,Tanzania,KRC Genk,16,1,19,75
Diego Costa,Spain,Wolverhampton Wanderers,32,1,53,75
Pedro,Brazil,ACF Fiorentina,52,1,39,75
Pedro,Spain,SS Lazio,52,1,39,75
Bernardo Silva,Portugal,Manchester City,60,0,37,74
Florian Thauvin,France,Udinese Calcio,51,2,30,74
James Tavernier,England,Rangers FC,82,0,40,74
JosÃ© Luis Morales,Spain,Villarreal CF,39,0,36,74
Rafa,Portugal,SL Benfica,70,0,33,74
Kai Havertz,Germany,Chelsea FC,46,0,26,73
Adam Rooney,Ireland,Aberdeen FC,16,0,8,72
Dusan Vlahovic,Serbia,Juventus FC,13,1,13,72
Hakan Calhanoglu,Turkey,Inter Milan,96,0,49,72
Jelle Vossen,Belgium,SV Zulte Waregem,14,1,24,72
Lior Refaelov,Israel,RSC Anderlecht,56,0,23,72
Patrik Schick,Czech Republic,Bayer 04 Leverkusen,17,0,15,72
Giovanni Simeone,Argentina,SSC Napoli,22,0,21,71
Hirving Lozano,Mexico,SSC Napoli,37,3,31,71
Ivan Perisic,Croatia,Tottenham Hotspur,65,1,36,71
Kasper Dolberg,Denmark,TSG 1899 Hoffenheim,23,0,7,71
Mario GÃ³mez,Germany,VfB Stuttgart,15,0,21,71
Wilfried Zaha,Cote d'Ivoire,Crystal Palace,38,0,53,71
Alexander Isak,Sweden,Newcastle United,18,0,20,70
Eric Bicfalvi,Romania,Ural Yekaterinburg,17,1,32,70
Nikola Kalinic,Croatia,Hellas Verona,17,1,30,70
Viktor Tsygankov,Ukraine,Dynamo Kyiv,48,0,12,70
Borja Iglesias,Spain,Real Betis BalompiÃ©,15,2,16,69
Enner Valencia,Ecuador,Fenerbahce,23,1,17,69
Eric Maxim Choupo-Moting,Cameroon,Bayern Munich,33,0,12,69
Lucas PÃ©rez,Spain,CÃ¡diz CF,37,0,24,69
Roman Yaremchuk,Ukraine,SL Benfica,23,1,27,69
Vangelis Pavlidis,Greece,AZ Alkmaar,34,0,18,69
Dmitriy Poloz,Russia,FK Rostov,31,0,16,68
Lucas Moura,Brazil,Tottenham Hotspur,42,0,19,68
Michail Antonio,Jamaica,West Ham United,38,0,37,68
Papu GÃ³mez,Argentina,Sevilla FC,70,1,29,68
Cenk Tosun,Turkey,Besiktas JK,16,0,16,67
Chicharito,Mexico,West Ham United,21,0,19,67
Lucas Ocampos,Argentina,Sevilla FC,33,1,67,67
Mark Uth,Germany,1.FC KÃ¶ln,46,0,41,67
Michael de Leeuw,Netherlands,FC Groningen,9,2,19,67
Anders Jacobsen,Denmark,AC Horsens,25,0,19,66
Bertrand TraorÃ©,Burkina Faso,Basaksehir FK,27,0,27,66
Christian Eriksen,Denmark,Manchester United,89,0,21,66
